id,soc_broad_id,occ_code,title,description
39,31,13-1041,Compliance Officers,"Examine, evaluate, and investigate eligibility for or conformity with laws
and regulations governing contract compliance of licenses and permits, and
perform other compliance and enforcement inspection and analysis activities
not classified elsewhere. Excludes ""Financial Examiners"""" (13-2061), ""Tax
Examiners and Collectors, and Revenue Agents"" (13-2081), ""Occupational
Health and Safety Specialists"" (19-5011), ""Occupational Health and Safety
Technicians"" (19-5012), ""Transportation Security Screeners"" (33-9093),
""Agricultural Inspectors"" (45-2011), ""Construction and Building Inspectors""
(47-4011), and ""Transportation Inspectors"" (53-6051"
40,32,13-1051,Cost Estimators,"Prepare cost estimates for product manufacturing, construction projects, or
services to aid management in bidding on or determining price of product or
service. May specialize according to particular service performed or type
of product manufactured."
41,33,13-1071,Human Resources Specialists,"Recruit, screen, interview, or place individuals within an organization.
May perform other activities in multiple human resources areas. Excludes
""Compensation, Benefits, and Job Analysis Specialists"" (13-1141) and
""Training and Development Specialists"" (13-1151)."
42,33,13-1074,Farm Labor Contractors,"Recruit and hire seasonal or temporary agricultural laborers. May
transport, house, and provide meals for workers."
43,33,13-1075,Labor Relations Specialists,"Resolve disputes between workers and managers, negotiate collective
bargaining agreements, or coordinate grievance procedures to handle
employee complaints. Excludes equal employment opportunity (EEO) officers,
who are included in ""Compliance Officers"" (13-1041)."
44,33,13-1081,Logisticians,"Analyze and coordinate the ongoing logistical functions of a firm or
organization. Responsible for the entire life cycle of a product, including
acquisition, distribution, internal allocation, delivery, and final
disposal of resources. Excludes ""Transportation, Storage, and Distribution
Managers"" (11-3071) and ""Project Management Specialists"" (13-1082)."
45,34,13-1111,Management Analysts,"Conduct organizational studies and evaluations, design systems and
procedures, conduct work simplification and measurement studies, and
prepare operations and procedures manuals to assist management in operating
more efficiently and effectively. Includes program analysts and management
consultants. Excludes ""Computer Systems Analysts"" (15-1211) and ""Operations
Research Analysts"" (15-2031)."
46,35,13-1121,"Meeting, Convention, and Event Planners","Coordinate activities of staff, convention personnel, or clients to make
arrangements for group meetings, events, or conventions."
47,36,13-1131,Fundraisers,"Organize activities to raise funds or otherwise solicit and gather monetary
donations or other gifts for an organization. May design and produce
promotional materials. May also raise awareness of the organization's work,
goals, and financial needs."
48,37,13-1141,"Compensation, Benefits, and Job Analysis Specialists","Conduct programs of compensation and benefits and job analysis for
employer. May specialize in specific areas, such as position classification
and pension programs."
49,38,13-1151,Training and Development Specialists,"Design or conduct work-related training and development programs to improve
individual skills or organizational performance. May analyze organizational
training needs or evaluate training effectiveness. Excludes
""Career/Technical Education Teachers, Postsecondary"" (25-1194) and ""Other
Teachers and Instructors"" (25-3000). Flight instructors are included with
""Aircraft Pilots and Flight Engineers"" (53-2010)."
50,39,13-1161,Market Research Analysts and Marketing Specialists,"Research conditions in local, regional, national, or online markets. Gather
information to determine potential sales of a product or service, or plan a
marketing or advertising campaign. May gather information on competitors,
prices, sales, and methods of marketing and distribution. May employ search
marketing tactics, analyze web metrics, and develop recommendations to
increase search engine ranking and visibility to target markets. Excludes
""Web and Digital Interface Designers"" (15-1255), ""Art Directors"" (27-1011),
""Graphic Designers"" (27-1024), and ""Public Relations Specialists"" (27-3031)."
51,39,13-1198,"Project Management Specialists and Business Operations Specialists, All Other","This occupation includes the 2018 SOC occupations 13-1082 Project
Management Specialists and 13-1199 Business Operations Specialists, All
Other and the 2010 SOC occupation 13-1199 Business Operations Specialists,
All Other."
52,40,13-2011,Accountants and Auditors,"Examine, analyze, and interpret accounting records to prepare financial
statements, give advice, or audit and evaluate statements prepared by
others. Install or advise on systems of recording costs or other financial
and budgetary data. Excludes ""Tax Examiners and Collectors, and Revenue
Agents"" (13-2081)."
53,41,13-2020,Property Appraisers and Assessors,"This occupation includes the 2018 SOC occupations 13-2022 Appraisers of
Personal and Business Property and 13-2023 Appraisers and Assessors of Real
Estate and the 2010 SOC occupation 13-2021 Appraisers and Assessors of Real
Estate."
54,42,13-2031,Budget Analysts,"Examine budget estimates for completeness, accuracy, and conformance with
procedures and regulations. Analyze budgeting and accounting reports.
Excludes ""Financial and Investment Analysts"" (13-2051)."
55,43,13-2041,Credit Analysts,"Analyze credit data and financial statements of individuals or firms to
determine the degree of risk involved in extending credit or lending money.
Prepare reports with credit information for use in decisionmaking. Excludes
""Financial Risk Specialists"" (13-2054)."
56,43,13-2052,Personal Financial Advisors,"Advise clients on financial plans using knowledge of tax and investment
strategies, securities, insurance, pension plans, and real estate. Duties
include assessing clients' assets, liabilities, cash flow, insurance
coverage, tax status, and financial objectives. May also buy and sell
financial assets for clients. Excludes ""Securities, Commodities, and
Financial Services Sales Agents"" (41-3031)."
57,43,13-2053,Insurance Underwriters,"Review individual applications for insurance to evaluate degree of risk
involved and determine acceptance of applications."
58,44,13-2061,Financial Examiners,"Enforce or ensure compliance with laws and regulations governing financial
and securities institutions and financial and real estate transactions. May
examine, verify, or authenticate records."
59,45,13-2071,Credit Counselors,"Advise and educate individuals or organizations on acquiring and managing
debt. May provide guidance in determining the best type of loan and explain
loan requirements or restrictions. May help develop debt management plans
or student financial aid packages. May advise on credit issues, or provide
budget, mortgage, bankruptcy, or student financial aid counseling."
60,45,13-2072,Loan Officers,"Evaluate, authorize, or recommend approval of commercial, real estate, or
credit loans. Advise borrowers on financial status and payment methods.
Includes mortgage loan officers and agents, collection analysts, loan
servicing officers, loan underwriters, and payday loan officers."
61,46,13-2081,"Tax Examiners and Collectors, and Revenue Agents","Determine tax liability or collect taxes from individuals or business firms
according to prescribed laws and regulations."
62,46,13-2082,Tax Preparers,"Prepare tax returns for individuals or small businesses. Excludes
""Accountants and Auditors"" (13-2011)."
63,46,13-2098,"Financial and Investment Analysts, Financial Risk Specialists, and Financial Specialists, All Other","This occupation includes the 2018 SOC occupations 13-2051 Financial and
Investment Analysts; 13-2054 Financial Risk Specialists; and 13-2099
Financial Specialists, All Other; and the 2010 SOC occupations 13-2051
Financial Analysts and 13-2099 Financial Specialists, All Other."
64,47,15-1211,Computer Systems Analysts,"Analyze science, engineering, business, and other data processing problems
to develop and implement solutions to complex applications problems, system
administration issues, or network concerns. Perform systems management and
integration functions, improve existing computer systems, and review
computer system capabilities, workflow, and schedule limitations. May
analyze or recommend commercially available software."
65,47,15-1212,Information Security Analysts,"Plan, implement, upgrade, or monitor security measures for the protection
of computer networks and information. Assess system vulnerabilities for
security risks and propose and implement risk mitigation strategies. May
ensure appropriate security controls are in place that will safeguard
digital files and vital electronic infrastructure. May respond to computer
security breaches and viruses. Excludes ""Computer Network Architects""
(15-1241)."
66,48,15-1221,Computer and Information Research Scientists,"Conduct research into fundamental computer and information science as
theorists, designers, or inventors. Develop solutions to problems in the
field of computer hardware and software."
67,49,15-1231,Computer Network Support Specialists,"Analyze, test, troubleshoot, and evaluate existing network systems, such as
local area networks (LAN), wide area networks (WAN), cloud networks,
servers, and other data communications networks. Perform network
maintenance to ensure networks operate correctly with minimal interruption.
Excludes ""Computer Network Architects"" (15-1241) and ""Network and Computer
Systems Administrators"" (15-1244)."
68,49,15-1232,Computer User Support Specialists,"Provide technical assistance to computer users. Answer questions or resolve
computer problems for clients in person, via telephone, or electronically.
May provide assistance concerning the use of computer hardware and
software, including printing, installation, word processing, electronic
mail, and operating systems. Excludes ""Network and Computer Systems
Administrators"" (15-1244)."
69,50,15-1241,Computer Network Architects,"Design and implement computer and information networks, such as local area
networks (LAN), wide area networks (WAN), intranets, extranets, and other
data communications networks. Perform network modeling, analysis, and
planning, including analysis of capacity needs for network infrastructures.
May also design network and computer security measures. May research and
recommend network and data communications hardware and software. Excludes
""Information Security Analysts"" (15-1212), ""Computer Network Support
Specialists"" (15-1231), and ""Network and Computer Systems Administrators""
(15-1244)."
70,50,15-1244,Network and Computer Systems Administrators,"Install, configure, and maintain an organization's local area network
(LAN), wide area network (WAN), data communications network, operating
systems, and physical and virtual servers. Perform system monitoring and
verify the integrity and availability of hardware, network, and server
resources and systems. Review system and application logs and verify
completion of scheduled jobs, including system backups. Analyze network and
server resource consumption and control user access. Install and upgrade
software and maintain software licenses. May assist in network modeling,
analysis, planning, and coordination between network and data
communications hardware and software. Excludes ""Information Security
Analysts"" (15-1212), ""Computer Network Support Specialists"" (15-1231), and
""Computer User Support Specialists"" (15-1232)."
71,50,15-1245,Database Administrators and Architects,"This occupation includes the 2018 SOC occupations 15-1242 Database
Administrators and 15-1243 Database Architects and the 2010 SOC occupation
15-1141 Database Administrators."
72,51,15-1251,Computer Programmers,"Create, modify, and test the code and scripts that allow computer
applications to run. Work from specifications drawn up by software and web
developers or other individuals. May develop and write computer programs to
store, locate, and retrieve specific documents, data, and information."
73,51,15-1256,Software Developers and Software Quality Assurance Analysts and Testers,"This occupation includes the the 2018 SOC occupations 15-1252 Software
Developers and 15-1253 Software Quality Assurance Analysts and Testers and
the 2010 SOC occupations 15-1132 Software Developers, Applications and
15-1133 Software Developers, Systems Software."
74,51,15-1257,Web Developers and Digital Interface Designers,"This occupation includes the the 2018 SOC occupations 15-1254 Web
Developers and 15-1255 Web and Digital Interface Designers and the 2010 SOC
occupation 15-1134 Web Developers."
75,52,15-1299,"Computer Occupations, All Other","All computer occupations not listed separately. Excludes ""Computer and
Information Systems Managers"" (11-3021), ""Computer Hardware Engineers""
(17-2061), ""Electrical and Electronics Engineers"" (17-2070), ""Computer
Science Teachers, Postsecondary"" (25-1021), ""Special Effects Artists and
Animators"" (27-1014), ""Graphic Designers"" (27-1024), ""Health Information
Technologists and Medical Registrars"" (29-9021), and ""Computer, Automated
Teller, and Office Machine Repairers"" (49-2011)."
76,53,15-2011,Actuaries,"Analyze statistical data, such as mortality, accident, sickness,
disability, and retirement rates and construct probability tables to
forecast risk and liability for payment of future benefits. May ascertain
insurance rates required and cash reserves necessary to ensure payment of
future benefits."
77,54,15-2021,Mathematicians,"Conduct research in fundamental mathematics or in application of
mathematical techniques to science, management, and other fields. Solve
problems in various fields using mathematical methods."
78,55,15-2031,Operations Research Analysts,"Formulate and apply mathematical modeling and other optimizing methods to
develop and interpret information that assists management with
decisionmaking, policy formulation, or other managerial functions. May
collect and analyze data and develop decision support software, services,
or products. May develop and supply optimal time, cost, or logistics
networks for program evaluation, review, or implementation."
79,56,15-2041,Statisticians,"Develop or apply mathematical or statistical theory and methods to collect,
organize, interpret, and summarize numerical data to provide usable
information. May specialize in fields such as biostatistics, agricultural
statistics, business statistics, or economic statistics. Includes
mathematical and survey statisticians. Excludes ""Survey Researchers""
(19-3022)."
80,56,15-2098,"Data Scientists and Mathematical Science Occupations, All Other","This occupation includes the 2018 SOC occupations 15-2051 Data Scientists
and 15-2099 Mathematical Science Occupations, All Other as well as the 2010
SOC occupations 15-2091 Mathematical Technicians and 15-2099 Mathematical
Science Occupations, All Other."
81,57,17-1011,"Architects, Except Landscape and Naval","Plan and design structures, such as private residences, office buildings,
theaters, factories, and other structural property. Excludes ""Landscape
Architects"" (17-1012) and ""Marine Engineers and Naval Architects"" (17-2121)."
82,57,17-1012,Landscape Architects,"Plan and design land areas for projects such as parks and other
recreational facilities, airports, highways, hospitals, schools, land
subdivisions, and commercial, industrial, and residential sites."
83,58,17-1021,Cartographers and Photogrammetrists,"Research, study, and prepare maps and other spatial data in digital or
graphic form for one or more purposes, such as legal, social, political,
educational, and design purposes. May work with Geographic Information
Systems (GIS). May design and evaluate algorithms, data structures, and
user interfaces for GIS and mapping systems. May collect, analyze, and
interpret geographic information provided by geodetic surveys, aerial
photographs, and satellite data."
84,58,17-1022,Surveyors,"Make exact measurements and determine property boundaries. Provide data
relevant to the shape, contour, gravitation, location, elevation, or
dimension of land or land features on or near the earth's surface for
engineering, mapmaking, mining, land evaluation, construction, and other
purposes."
85,59,17-2011,Aerospace Engineers,"Perform engineering duties in designing, constructing, and testing
aircraft, missiles, and spacecraft. May conduct basic and applied research
to evaluate adaptability of materials and equipment to aircraft design and
manufacture. May recommend improvements in testing equipment and techniques."
86,60,17-2021,Agricultural Engineers,"Apply knowledge of engineering technology and biological science to
agricultural problems concerned with power and machinery, electrification,
structures, soil and water conservation, and processing of agricultural
products."
87,61,17-2031,Bioengineers and Biomedical Engineers,"Apply knowledge of engineering, biology, chemistry, computer science, and
biomechanical principles to the design, development, and evaluation of
biological, agricultural, and health systems and products, such as
artificial organs, prostheses, instrumentation, medical information
systems, and health management and care delivery systems."
88,62,17-2041,Chemical Engineers,"Design chemical plant equipment and devise processes for manufacturing
chemicals and products, such as gasoline, synthetic rubber, plastics,
detergents, cement, paper, and pulp, by applying principles and technology
of chemistry, physics, and engineering."
89,63,17-2051,Civil Engineers,Loading...
90,64,17-2061,Computer Hardware Engineers,"Research, design, develop, or test computer or computer-related equipment
for commercial, industrial, military, or scientific use. May supervise the
manufacturing and installation of computer or computer-related equipment
and components. Excludes ""Software Developers"" (15-1252) and ""Web
Developers"" (15-1254)."
91,65,17-2071,Electrical Engineers,"Research, design, develop, test, or supervise the manufacturing and
installation of electrical equipment, components, or systems for
commercial, industrial, military, or scientific use. Excludes ""Computer
Hardware Engineers"" (17-2061)."
92,65,17-2072,"Electronics Engineers, Except Computer","Research, design, develop, or test electronic components and systems for
commercial, industrial, military, or scientific use employing knowledge of
electronic theory and materials properties. Design electronic circuits and
components for use in fields such as telecommunications, aerospace guidance
and propulsion control, acoustics, or instruments and controls. Excludes
""Computer Hardware Engineers"" (17-2061)."
93,66,17-2081,Environmental Engineers,"Research, design, plan, or perform engineering duties in the prevention,
control, and remediation of environmental hazards using various engineering
disciplines. Work may include waste treatment, site remediation, or
pollution control technology."
94,67,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors","Promote worksite or product safety by applying knowledge of industrial
processes, mechanics, chemistry, psychology, and industrial health and
safety laws. Includes industrial product safety engineers."
95,67,17-2112,Industrial Engineers,"Design, develop, test, and evaluate integrated systems for managing
industrial production processes, including human work factors, quality
control, inventory control, logistics and material flow, cost analysis, and
production coordination. Excludes ""Health and Safety Engineers, Except
Mining Safety Engineers and Inspectors"" (17-2111)."
96,68,17-2121,Marine Engineers and Naval Architects,"Design, develop, and evaluate the operation of marine vessels, ship
machinery, and related equipment, such as power supply and propulsion
systems."
97,69,17-2131,Materials Engineers,"Evaluate materials and develop machinery and processes to manufacture
materials for use in products that must meet specialized design and
performance specifications. Develop new uses for known materials. Includes
those engineers working with composite materials or specializing in one
type of material, such as graphite, metal and metal alloys, ceramics and
glass, plastics and polymers, and naturally occurring materials. Includes
metallurgists and metallurgical engineers, ceramic engineers, and welding
engineers."
98,70,17-2141,Mechanical Engineers,"Perform engineering duties in planning and designing tools, engines,
machines, and other mechanically functioning equipment. Oversee
installation, operation, maintenance, and repair of equipment such as
centralized heat, gas, water, and steam systems."
99,71,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers","Conduct subsurface surveys to identify the characteristics of potential
land or mining development sites. May specify the ground support systems,
processes, and equipment for safe, economical, and environmentally sound
extraction or underground construction activities. May inspect areas for
unsafe geological conditions, equipment, and working conditions. May
design, implement, and coordinate mine safety programs. Excludes ""Petroleum
Engineers"" (17-2171)."
100,72,17-2161,Nuclear Engineers,"Conduct research on nuclear engineering projects or apply principles and
theory of nuclear science to problems concerned with release, control, and
use of nuclear energy and nuclear waste disposal."
101,73,17-2171,Petroleum Engineers,"Devise methods to improve oil and gas extraction and production and
determine the need for new or modified tool designs. Oversee drilling and
offer technical advice."
102,74,17-2199,"Engineers, All Other","All engineers not listed separately. Excludes ""Sales Engineers"" (41-9031),
""Locomotive Engineers"" (53-4011), and ""Ship Engineers"" (53-5031)."
103,75,17-3011,Architectural and Civil Drafters,"Prepare detailed drawings of architectural and structural features of
buildings or drawings and topographical relief maps used in civil
engineering projects, such as highways, bridges, and public works. Use
knowledge of building materials, engineering practices, and mathematics to
complete drawings."
104,75,17-3012,Electrical and Electronics Drafters,"Prepare wiring diagrams, circuit board assembly diagrams, and layout
drawings used for the manufacture, installation, or repair of electrical
equipment."
105,75,17-3013,Mechanical Drafters,"Prepare detailed working diagrams of machinery and mechanical devices,
including dimensions, fastening methods, and other engineering information."
106,75,17-3019,"Drafters, All Other",All drafters not listed separately.
107,76,17-3021,Aerospace Engineering and Operations Technologists and Technicians,"Operate, install, adjust, and maintain integrated computer/communications
systems, consoles, simulators, and other data acquisition, test, and
measurement instruments and equipment, which are used to launch, track,
position, and evaluate air and space vehicles. May record and interpret
test data."
108,76,17-3022,Civil Engineering Technologists and Technicians,"Apply theory and principles of civil engineering in planning, designing,
and overseeing construction and maintenance of structures and facilities
under the direction of engineering staff or physical scientists."
109,76,17-3023,Electrical and Electronic Engineering Technologists and Technicians,"Apply electrical and electronic theory and related knowledge, usually under
the direction of engineering staff, to design, build, repair, adjust, and
modify electrical components, circuitry, controls, and machinery for
subsequent evaluation and use by engineering staff in making engineering
design decisions. Excludes ""Broadcast Technicians"" (27-4012)."
110,76,17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,"Operate, test, maintain, or adjust unmanned, automated, servomechanical, or
electromechanical equipment. May operate unmanned submarines, aircraft, or
other equipment to observe or record visual information at sites such as
oil rigs, crop fields, buildings, or for similar infrastructure, deep ocean
exploration, or hazardous waste removal. May assist engineers in testing
and designing robotics equipment."
111,76,17-3025,Environmental Engineering Technologists and Technicians,"Apply theory and principles of environmental engineering to modify, test,
and operate equipment and devices used in the prevention, control, and
remediation of environmental problems, including waste treatment and site
remediation, under the direction of engineering staff or scientists. May
assist in the development of environmental remediation devices."
112,76,17-3026,Industrial Engineering Technologists and Technicians,"Apply engineering theory and principles to problems of industrial layout or
manufacturing production, usually under the direction of engineering staff.
May perform time and motion studies on worker operations in a variety of
industries for purposes such as establishing standard production rates or
improving efficiency."
113,76,17-3027,Mechanical Engineering Technologists and Technicians,"Apply theory and principles of mechanical engineering to modify, develop,
test, or adjust machinery and equipment under direction of engineering
staff or physical scientists."
114,77,17-3031,Surveying and Mapping Technicians,"Perform surveying and mapping duties, usually under the direction of an
engineer, surveyor, cartographer, or photogrammetrist, to obtain data used
for construction, mapmaking, boundary location, mining, or other purposes.
May calculate mapmaking information and create maps from source data, such
as surveying notes, aerial photography, satellite data, or other maps to
show topographical features, political boundaries, and other features. May
verify accuracy and completeness of maps. Excludes ""Cartographers and
Photogrammetrists"" (17-1021), ""Surveyors"""" (17-1022), and ""Geoscientists,
Except Hydrologists and Geographers"" (19-2042"
115,77,17-3098,"Calibration Technologists and Technicians and Engineering Technologists and Technicians, Except Drafters, All Other","This occupation includes the 2018 SOC occupations 17-3028 Calibration
Technologists and Technicians and 17-3029 Engineering Technologists and
Technicians, Except Drafters, All Other; and the 2010 SOC occupation
17-3029 Engineering Technicians, Except Drafters, All Other."
116,78,19-1011,Animal Scientists,"Conduct research in the genetics, nutrition, reproduction, growth, and
development of domestic farm animals."
117,78,19-1012,Food Scientists and Technologists,"Use chemistry, microbiology, engineering, and other sciences to study the
principles underlying the processing and deterioration of foods; analyze
food content to determine levels of vitamins, fat, sugar, and protein;
discover new food sources; research ways to make processed foods safe,
palatable, and healthful; and apply food science knowledge to determine
best ways to process, package, preserve, store, and distribute food."
118,78,19-1013,Soil and Plant Scientists,"Conduct research in breeding, physiology, production, yield, and management
of crops and agricultural plants or trees, shrubs, and nursery stock, their
growth in soils, and control of pests; or study the chemical, physical,
biological, and mineralogical composition of soils as they relate to plant
or crop growth. May classify and map soils and investigate effects of
alternative practices on soil and crop productivity."
119,79,19-1021,Biochemists and Biophysicists,"Study the chemical composition or physical principles of living cells and
organisms, their electrical and mechanical energy, and related phenomena.
May conduct research to further understanding of the complex chemical
combinations and reactions involved in metabolism, reproduction, growth,
and heredity. May determine the effects of foods, drugs, serums, hormones,
and other substances on tissues and vital processes of living organisms."
120,79,19-1022,Microbiologists,"Investigate the growth, structure, development, and other characteristics
of microscopic organisms, such as bacteria, algae, or fungi. Includes
medical microbiologists who study the relationship between organisms and
disease or the effects of antibiotics on microorganisms."
